# Unit 3, Chajnantor2 CBI, Filter  0,  Slot 1, 350 um (616) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
2006	5	10	20.518	4147.8550	129.8549	9.8549	 1.37	 0.06	204.38	 1.68	 1.33	 1.00	10.83	 1.90	325.89	297.97	307.64	278.75	 0.00	0	55.75
2006	5	10	20.960	4147.8735	129.8733	9.8733	 1.49	 0.04	202.56	 0.99	 1.79	 0.99	10.87	 1.95	325.85	296.80	306.69	276.90	 0.00	0	55.38
2006	5	10	21.402	4147.8916	129.8917	9.8917	 1.34	 0.03	202.51	 1.00	 0.94	 1.00	10.75	 1.96	325.91	295.41	304.70	274.66	300.60	0	54.93
2006	5	10	21.842	4147.9102	129.9101	9.9101	 1.32	 0.04	199.35	 1.34	 2.01	 0.99	10.80	 1.90	326.15	293.84	301.91	272.89	299.31	0	54.58
2006	5	10	22.745	4147.9478	129.9477	9.9477	 1.41	 0.05	203.75	 1.40	 1.17	 1.00	10.75	 2.03	326.19	290.05	299.17	264.69	296.51	0	52.94
2006	5	10	23.184	4147.9658	129.9660	9.9660	 1.35	 0.05	204.59	 1.44	 3.24	 0.99	10.77	 2.05	326.34	288.45	297.01	264.34	293.69	0	52.87
2006	5	10	23.623	4147.9844	129.9843	9.9843	 1.40	 0.04	204.32	 1.21	 1.82	 0.99	10.73	 2.06	326.20	287.04	295.17	263.52	293.27	0	52.70
2006	5	11	0.064	4148.0024	130.0027	10.0027	 1.38	 0.04	203.39	 1.24	 2.86	 0.98	10.82	 2.00	326.18	285.83	293.00	263.33	292.05	0	52.67
2006	5	11	0.505	4148.0210	130.0211	10.0211	 1.17	 0.03	199.01	 1.29	 1.57	 0.99	10.77	 1.95	326.06	284.80	290.16	 0.00	 0.00	0	54.00
2006	5	11	0.971	4148.0405	130.0405	10.0405	 1.05	 0.03	202.90	 1.31	 0.90	 1.00	10.80	 2.00	326.49	283.89	291.11	261.77	289.91	0	52.35
2006	5	11	1.417	4148.0591	130.0590	10.0590	 1.03	 0.03	199.10	 1.63	 1.60	 1.00	10.95	 1.97	326.89	283.00	288.80	261.61	289.10	0	52.32
2006	5	11	1.858	4148.0776	130.0774	10.0774	 1.10	 0.04	198.07	 1.81	 0.82	 1.00	10.80	 2.10	326.91	282.44	288.69	262.05	286.17	0	52.41
2006	5	11	2.299	4148.0957	130.0958	10.0958	 1.06	 0.03	200.31	 1.57	 2.22	 0.99	10.73	 2.03	327.17	281.93	288.05	262.35	287.84	0	52.47
2006	5	11	2.743	4148.1143	130.1143	10.1143	 1.10	 0.02	199.24	 0.99	 1.21	 0.99	10.77	 2.04	327.09	281.60	287.75	262.82	287.64	0	52.56
2006	5	11	3.208	4148.1338	130.1337	10.1337	 1.07	 0.03	202.41	 1.37	 0.35	 1.00	10.80	 2.07	326.91	281.29	286.29	262.07	284.94	0	52.41
2006	5	11	3.654	4148.1523	130.1522	10.1522	 1.03	 0.03	200.66	 1.35	 1.85	 0.99	10.75	 1.99	326.23	280.99	286.87	 0.00	284.68	0	54.00
2006	5	11	4.092	4148.1704	130.1705	10.1705	 1.10	 0.03	202.83	 1.24	 1.53	 0.99	10.82	 2.09	326.27	280.78	287.51	262.79	285.66	0	52.56
2006	5	11	4.533	4148.1890	130.1889	10.1889	 1.10	 0.03	201.51	 1.40	 2.96	 0.98	10.80	 2.10	326.34	280.55	285.86	261.80	286.70	0	52.36
