# Unit 0, Chajnantor CBI, Filter  0,  Slot 0, 350 um (563) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
2011	11	9	22.619	6156.9424	312.9425	8.9425	 0.96	 0.10	204.58	 6.27	 5.93	 1.00	10.37	 1.45	331.72	284.18	278.68	275.05	284.60	0	55.01
2011	11	9	22.838	6156.9517	312.9516	8.9516	 1.15	 0.15	208.71	 6.62	21.96	 1.00	10.38	 1.50	334.52	284.13	286.18	272.83	284.68	0	54.57
2011	11	9	23.050	6156.9604	312.9604	8.9604	 1.14	 0.09	207.69	 3.72	24.93	 0.97	10.33	 1.61	334.53	283.98	285.12	271.06	284.47	0	54.21
2011	11	9	23.262	6156.9692	312.9692	8.9692	 1.05	 0.07	208.12	 3.55	21.37	 0.97	10.35	 1.63	334.56	283.75	288.42	270.14	284.22	0	54.03
2011	11	9	23.474	6156.9780	312.9781	8.9781	 0.75	 0.07	202.60	 6.26	 6.80	 1.00	10.37	 1.36	334.56	283.48	282.34	269.39	283.88	0	53.88
2011	11	9	23.686	6156.9868	312.9869	8.9869	 0.75	 0.04	207.94	 3.51	 8.16	 0.98	10.33	 1.46	334.55	283.17	283.18	268.67	283.49	0	53.73
2011	11	9	23.904	6156.9961	312.9960	8.9960	 0.81	 0.02	208.67	 2.06	13.32	 0.69	10.37	 1.51	334.54	282.81	283.42	267.75	283.10	0	53.55
2011	11	10	0.117	6157.0049	313.0049	9.0049	 0.94	 0.04	205.95	 2.73	 7.62	 0.98	10.35	 1.57	334.52	282.43	284.55	267.02	282.73	0	53.40
2011	11	10	0.329	6157.0137	313.0137	9.0137	 0.88	 0.03	201.76	 2.37	 1.58	 1.00	10.35	 1.49	334.51	282.06	281.87	266.56	282.36	0	53.31
2011	11	10	0.541	6157.0225	313.0226	9.0225	 0.81	 0.03	200.40	 2.20	 3.64	 0.98	10.35	 1.41	334.51	281.66	281.05	265.74	282.02	0	53.15
2011	11	10	0.753	6157.0312	313.0314	9.0314	 0.94	 0.05	207.09	 3.39	 6.32	 1.00	10.33	 1.49	334.52	281.30	283.36	265.86	281.59	0	53.17
2011	11	10	0.971	6157.0405	313.0405	9.0405	 0.84	 0.04	204.57	 3.21	 2.52	 1.00	10.40	 1.47	334.51	281.02	278.93	265.90	281.25	0	53.18
2011	11	10	1.184	6157.0493	313.0493	9.0493	 0.70	 0.04	205.73	 4.40	 5.67	 0.99	10.32	 1.36	334.52	280.68	279.18	266.23	280.93	0	53.25
2011	11	10	1.396	6157.0581	313.0582	9.0582	 0.82	 0.05	200.71	 4.12	 7.76	 0.99	10.37	 1.45	334.54	280.41	281.63	267.16	280.57	0	53.43
2011	11	10	1.608	6157.0669	313.0670	9.0670	 0.81	 0.04	198.86	 2.95	 0.57	 1.00	10.33	 1.49	334.52	280.18	280.76	267.17	280.37	0	53.43
2011	11	10	1.820	6157.0757	313.0758	9.0758	 0.77	 0.05	202.60	 4.35	 1.59	 1.00	10.35	 1.54	334.51	279.97	281.12	267.47	280.15	0	53.49
2011	11	10	2.038	6157.0850	313.0849	9.0849	 0.81	 0.05	201.44	 3.73	 0.75	 1.00	10.38	 1.54	334.51	279.77	281.48	267.33	279.97	0	53.47
2011	11	10	2.251	6157.0937	313.0938	9.0938	 0.64	 0.03	205.12	 4.09	 2.05	 1.00	10.35	 1.46	334.52	279.55	278.39	266.70	279.82	0	53.34
2011	11	10	2.463	6157.1025	313.1026	9.1026	 0.80	 0.02	202.88	 1.76	 7.44	 0.78	10.35	 1.55	334.54	279.32	280.89	266.80	279.62	0	53.36
2011	11	10	2.675	6157.1113	313.1115	9.1115	 0.68	 0.10	211.60	12.29	11.13	 1.00	10.35	 1.47	334.52	279.17	280.37	267.31	279.40	0	53.46
2011	11	10	2.887	6157.1201	313.1203	9.1203	 0.69	 0.03	209.53	 3.85	 6.58	 0.98	10.35	 1.50	334.51	279.10	278.52	267.64	279.33	0	53.53
2011	11	10	3.105	6157.1294	313.1294	9.1294	 0.75	 0.03	203.39	 2.84	 3.14	 0.99	10.37	 1.50	334.50	279.03	279.20	267.83	279.24	0	53.57
2011	11	10	3.318	6157.1382	313.1382	9.1383	 0.61	 0.09	204.70	12.06	23.88	 1.00	10.37	 1.41	334.56	278.97	275.81	267.97	279.20	0	53.59
2011	11	10	3.530	6157.1470	313.1471	9.1471	 0.69	 0.03	205.67	 3.14	 4.43	 0.98	10.37	 1.48	334.52	278.91	279.87	267.46	279.19	0	53.49
2011	11	10	3.743	6157.1558	313.1559	9.1559	 0.61	 0.03	207.11	 3.61	 5.04	 0.98	10.37	 1.46	334.54	278.85	278.31	267.31	279.27	0	53.46
