# Unit 0, Chajnantor Apex, Filter  0,  Slot 0, 350 um (563) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
2016	6	7	21.068	7828.8778	158.8778	6.8778	 1.53	 1.13	194.69	25.38	700.35	 1.00	12.48	 1.19	334.96	288.08	275.28	269.17	286.05	0	53.83
2016	6	8	1.551	7829.0646	159.0646	7.0646	 4.16	 6.81	218.98	 8.95	73.04	 1.00	12.48	 1.60	334.85	276.38	287.78	261.00	276.26	0	52.20
2016	6	8	1.981	7829.0825	159.0825	7.0825	 2.87	 1.66	220.82	 8.46	104.62	 1.00	12.48	 1.42	334.86	276.06	291.53	261.10	275.96	0	52.22
2016	6	8	2.194	7829.0914	159.0914	7.0914	 1.50	 0.62	198.42	14.86	117.98	 1.00	12.50	 1.32	334.86	275.94	264.43	261.15	275.80	0	52.23
2016	6	8	2.406	7829.1003	159.1003	7.1003	 2.31	 0.66	220.90	 6.31	51.12	 1.00	12.48	 1.77	334.85	275.84	284.60	261.21	275.69	0	52.24
2016	6	8	2.619	7829.1091	159.1091	7.1091	 2.51	 1.46	218.44	11.02	 2.67	 1.00	12.48	 1.53	334.84	275.75	292.53	261.39	275.61	0	52.28
2016	6	8	3.474	7829.1447	159.1447	7.1447	 2.43	 1.53	210.12	12.18	280.98	 1.00	12.47	 1.65	334.83	275.52	278.91	261.47	275.40	0	52.29
2016	6	8	4.972	7829.2072	159.2072	7.2072	 2.03	 0.78	197.65	 9.31	42.86	 1.00	12.52	 1.43	334.82	274.99	270.65	260.55	274.87	0	52.11
2016	6	8	6.040	7829.2517	159.2517	7.2517	 3.33	 2.56	213.15	 7.75	24.06	 1.00	12.52	 1.40	334.80	274.66	278.81	260.25	274.49	0	52.05
2016	6	8	6.253	7829.2605	159.2605	7.2605	 2.87	 1.97	192.50	 8.75	50.58	 1.00	12.47	 1.24	334.80	274.61	274.87	260.19	274.46	0	52.04
2016	6	8	8.388	7829.3495	159.3495	7.3495	 2.32	 0.83	216.43	 7.72	20.54	 1.00	12.48	 1.45	334.78	274.15	282.32	259.89	273.95	0	51.98
2016	6	8	9.242	7829.3851	159.3851	7.3851	 2.50	 0.97	212.04	 7.19	30.87	 1.00	12.50	 1.39	334.76	273.98	279.09	259.38	273.73	0	51.88
2016	6	8	9.668	7829.4028	159.4028	7.4028	 2.37	 0.98	211.51	 8.36	16.90	 1.00	12.48	 1.32	334.78	273.90	279.69	259.30	273.62	0	51.86
2016	6	8	9.880	7829.4117	159.4117	7.4117	 2.06	 0.57	212.76	 6.97	63.56	 1.00	12.48	 1.56	334.78	273.85	278.75	259.39	273.60	0	51.88
