# Unit 4, CSO, Filter  0,  Slot 8, 350 um (712) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
1997	12	7	2.174	1071.0906	340.0906	6.0906	18.73	4870888.38	245.44	 3.31	112.39	 0.89	10.25	 1.57	332.13	294.40	286.24	284.28	301.71	0	56.86
1997	12	7	9.324	1071.3885	340.3885	6.3885	 1.53	 0.90	298.24	30.96	967.14	 1.00	10.25	 1.17	332.20	297.25	318.53	273.92	312.67	0	54.78
1997	12	8	10.684	1072.4452	341.4452	7.4452	 1.69	 0.06	203.39	 1.18	 3.93	 0.98	10.33	 1.72	332.11	299.01	300.09	273.88	302.20	0	54.78
1997	12	8	10.895	1072.4540	341.4539	7.4539	 1.55	 0.05	209.84	 1.07	 4.09	 0.95	10.23	 1.85	332.09	297.75	301.09	272.76	302.22	0	54.55
1997	12	8	11.104	1072.4626	341.4627	7.4627	 1.59	 0.04	205.25	 0.94	 5.29	 0.88	10.22	 1.79	332.08	296.69	299.91	271.75	302.19	0	54.35
1997	12	8	11.314	1072.4714	341.4714	7.4714	 1.59	 0.05	208.02	 1.04	 5.45	 0.91	10.23	 1.86	332.06	295.77	301.19	270.81	302.11	0	54.16
1997	12	8	11.524	1072.4801	341.4802	7.4802	 1.50	 0.05	205.25	 1.13	 6.35	 0.90	10.23	 1.80	332.07	294.99	300.22	270.17	301.99	0	54.03
1997	12	8	11.734	1072.4889	341.4889	7.4889	 1.45	 0.05	205.93	 1.34	 4.57	 0.97	10.23	 1.81	332.03	294.34	301.49	269.60	301.90	0	53.92
1997	12	8	11.943	1072.4977	341.4976	7.4976	 1.36	 0.04	203.19	 1.17	 4.65	 0.94	10.23	 1.76	332.04	293.75	299.56	268.87	301.76	0	53.77
1997	12	8	12.153	1072.5063	341.5064	7.5064	 1.37	 0.04	205.61	 1.24	11.61	 0.74	10.25	 1.82	332.03	293.21	299.91	268.47	301.60	0	53.69
1997	12	8	12.363	1072.5151	341.5151	7.5151	 1.45	 0.04	206.51	 1.13	 5.83	 0.91	10.25	 1.90	332.03	292.78	300.52	268.47	301.44	0	53.69
1997	12	8	12.572	1072.5238	341.5238	7.5238	 1.35	 0.03	204.84	 0.98	 9.22	 0.62	10.23	 1.83	332.03	292.39	299.88	268.30	301.29	0	53.66
1997	12	8	12.782	1072.5326	341.5326	7.5326	 1.29	 0.03	202.98	 1.13	 1.77	 0.99	10.23	 1.81	332.06	292.04	299.27	267.87	301.15	0	53.57
1997	12	8	12.992	1072.5414	341.5413	7.5413	 1.36	 0.04	203.80	 1.09	 4.16	 0.94	10.23	 1.86	332.01	291.71	299.40	267.65	301.00	0	53.53
1997	12	8	13.202	1072.5500	341.5501	7.5501	 1.25	 0.04	201.58	 1.58	 3.48	 0.99	10.25	 1.79	332.04	291.41	297.88	267.50	300.83	0	53.50
1997	12	8	13.411	1072.5588	341.5588	7.5588	 1.31	 0.04	205.52	 1.45	 8.64	 0.90	10.25	 1.92	332.02	291.19	299.65	267.71	300.68	0	53.54
1997	12	8	13.621	1072.5675	341.5676	7.5676	 1.26	 0.03	204.75	 1.17	 8.72	 0.76	10.25	 1.90	332.02	290.99	299.08	267.84	300.54	0	53.57
1997	12	8	13.831	1072.5763	341.5763	7.5763	 1.23	 0.03	203.62	 1.15	 2.74	 0.97	10.25	 1.87	332.02	290.80	299.27	267.84	300.42	0	53.57
1997	12	8	14.041	1072.5851	341.5851	7.5851	 1.19	 0.02	201.07	 0.79	 6.34	 0.47	10.23	 1.85	332.03	290.66	297.88	268.14	300.29	0	53.63
1997	12	8	14.251	1072.5937	341.5938	7.5938	 1.25	 0.03	202.38	 1.03	 4.99	 0.86	10.25	 1.86	332.01	290.56	298.90	268.35	300.20	0	53.67
1997	12	8	14.461	1072.6025	341.6025	7.6025	 1.18	 0.03	202.74	 1.39	 2.27	 0.99	10.25	 1.85	332.01	290.46	298.43	268.46	300.12	0	53.69
1997	12	8	14.671	1072.6113	341.6113	7.6113	 1.14	 0.03	204.26	 1.38	 8.97	 0.81	10.23	 1.90	332.03	290.37	298.60	268.31	300.05	0	53.66
1997	12	8	14.881	1072.6200	341.6200	7.6200	 1.10	 0.03	201.96	 1.53	 2.81	 0.99	10.25	 1.81	332.01	290.27	298.80	268.33	299.97	0	53.67
1997	12	8	15.091	1072.6288	341.6288	7.6288	 1.12	 0.03	200.22	 1.48	 1.83	 0.99	10.25	 1.83	332.01	290.09	297.49	267.56	299.87	0	53.51
1997	12	8	15.301	1072.6376	341.6375	7.6375	 1.13	 0.03	198.24	 1.27	 6.04	 0.87	10.25	 1.82	331.99	289.88	297.41	266.67	299.73	0	53.33
